group_id,recipe,score,nmae,ficr,n_estimators,learning_rate,num_leaves,min_child_samples,feature_fraction,bagging_fraction
2,full,0.6457549236430793,0.1235241673169286,0.4150340146030874,600,0.08,63,30,0.8,1.0
2,full,0.6482268427005222,0.1213237925468846,0.417777477947929,600,0.05,15,10,1.0,1.0
2,full,0.6469032454503938,0.1213731616067401,0.4151796525075278,400,0.03,15,30,0.8,0.8
3,physics,0.5596004671239196,0.1487997720313594,0.2680007062791986,600,0.03,15,30,0.8,0.8
3,physics,0.5603150744718484,0.1485244418143089,0.2691545907580056,200,0.08,15,10,1.0,0.8
3,physics,0.5621442992106496,0.1462059169244888,0.2704945153457881,200,0.03,15,10,0.8,0.8
3,physics,0.555513887989678,0.1522812497890374,0.2633090257683935,600,0.08,63,30,0.8,1.0
3,physics,0.5598206539907955,0.1495230825935208,0.2691643905751118,600,0.05,15,10,1.0,1.0
3,physics,0.5606947975067365,0.1478415272318988,0.2692311222453717,400,0.03,15,30,0.8,0.8
3,physics,0.5579993463422876,0.1496381680091581,0.2656368606937334,400,0.03,31,30,1.0,0.8
3,physics,0.5602647011267089,0.1502681280742282,0.270797530327646,600,0.05,63,10,1.0,0.8
3,physics,0.5531425202599646,0.1512894844314841,0.2575745249514133,600,0.05,63,30,0.8,0.8
3,physics,0.5593218909634387,0.1505326638043309,0.2691764457312083,200,0.08,15,30,0.8,0.8
3,full,0.5610643239723032,0.1476591947559926,0.2697878427005992,600,0.03,15,30,0.8,0.8
3,full,0.5572575504091367,0.1486480174111444,0.2631631182294178,200,0.08,15,10,1.0,0.8
3,full,0.560793649071307,0.1465614158729797,0.2681487140155938,200,0.03,15,10,0.8,0.8
3,full,0.5550184854311421,0.1515887491775764,0.2616257200398607,600,0.08,63,30,0.8,1.0
3,full,0.5550460931237178,0.1513121058266568,0.2614042920740923,600,0.05,15,10,1.0,1.0
3,full,0.5591687801676215,0.1470762390181706,0.2654137993534137,400,0.03,15,30,0.8,0.8
3,full,0.5601388598777746,0.1492508176891191,0.2695285374446683,400,0.03,31,30,1.0,0.8
3,full,0.5570212085632651,0.150729185859189,0.2647716029857192,600,0.05,63,10,1.0,0.8
3,full,0.5551990240473562,0.1512646157992977,0.2616626638940103,600,0.05,63,30,0.8,0.8
3,full,0.5557288366318174,0.1493791652419265,0.2608368385055613,200,0.08,15,30,0.8,0.8
1,physics,0.6067944832960068,0.1226180508897101,0.3362070174817239,600,0.03,15,30,0.8,0.8
1,physics,0.605037748094946,0.1242472509475753,0.3343227471374675,200,0.08,15,10,1.0,0.8
1,physics,0.5879963802942478,0.1252860584749768,0.3012788190634724,200,0.03,15,10,0.8,0.8
1,physics,0.6041730322230663,0.1262126042720535,0.3345586687181862,600,0.08,63,30,0.8,1.0
1,physics,0.6090757620805549,0.1233259601688979,0.3414774843300076,600,0.05,15,10,1.0,1.0
1,physics,0.6003340774561522,0.1234311210192677,0.3240992759315722,400,0.03,15,30,0.8,0.8
1,physics,0.6073116272058056,0.1228190804644559,0.3374423348760671,400,0.03,31,30,1.0,0.8
1,physics,0.6035933877373385,0.1237131524661288,0.3308999279408059,600,0.05,63,10,1.0,0.8
1,full,0.6065337681141552,0.1228616090321362,0.3359291452604467,600,0.03,15,30,0.8,0.8
1,full,0.6025790959690095,0.124150041295355,0.3293082332333741,200,0.08,15,10,1.0,0.8
1,full,0.5916711431578637,0.1245759246797706,0.3079182109954981,200,0.03,15,10,0.8,0.8
1,full,0.6101783912309152,0.1243813160725334,0.3447380985343639,600,0.08,63,30,0.8,1.0
1,full,0.6060221639789488,0.123202276904569,0.3352466048624667,600,0.05,15,10,1.0,1.0
1,full,0.6022878243334201,0.1232195297782367,0.327795178445077,400,0.03,15,30,0.8,0.8
1,full,0.608036373348817,0.1226281064858593,0.3387008531834934,400,0.03,31,30,1.0,0.8
2,physics,0.6467323830981233,0.1213161026712466,0.4147808688674934,600,0.03,15,30,0.8,0.8
2,physics,0.6457720614776448,0.1229717418471436,0.4145158648024331,200,0.08,15,10,1.0,0.8
2,physics,0.6410989552130316,0.1216226678867057,0.4038205783127689,200,0.03,15,10,0.8,0.8
2,physics,0.6435623053682941,0.123354152232294,0.4104787629688821,600,0.08,63,30,0.8,1.0
2,physics,0.6428531325371585,0.1217372358034693,0.4074435008777862,600,0.05,15,10,1.0,1.0
2,physics,0.6445731349024881,0.1212779855514658,0.4104242553564422,400,0.03,15,30,0.8,0.8
2,physics,0.6466542869226761,0.1210737081755353,0.4143822820208876,400,0.03,31,30,1.0,0.8
2,full,0.6493140903759665,0.12112821209073683,0.4197563928426699,600,0.03,15,30,0.8,0.8
2,full,0.6381965705650413,0.12298932428108154,0.39938246541116423,200,0.08,15,10,1.0,0.8
2,full,0.639309543298821,0.12203317063597494,0.4006522572336168,200,0.03,15,10,0.8,0.8
2,full,0.6457549236430793,0.12352416731692868,0.4150340146030874,600,0.08,63,30,0.8,1.0
2,full,0.6482268427005222,0.12132379254688469,0.417777477947929,600,0.05,15,10,1.0,1.0
2,full,0.6469032454503938,0.12137316160674014,0.41517965250752786,400,0.03,15,30,0.8,0.8
2,full,0.6459601827002575,0.12112307312511161,0.41304343852562664,400,0.03,31,30,1.0,0.8
